Region,Acute Respiratory Infections,Diarrhoeal Diseases,Intestinal Worms,Malaria- Severe Complicated,Malaria- Uncomplicated,Schistosomiasis,Tuberculosis,Severe Protein Ernegy Malnut.,Other Nutritional Disorders (toa PEM),Sickle  cell Disease,Anaemia,Epilepsy,Ear Infections,Eye Infections,Other Eye Diseases,Vitamin A Defc/Xerophthalmia,Cardiac Failure,Other Cardiovascular,Rheumatic Fever,Bronchial Asthma,Pneumonia,Respiratory Disease (Nyinginezo),Non-Inf. Gastrointestinal Diseases (Others),Urinary tract Infections (UTI),Non-Inf. Kidney Diseases,Skin Infections,Skin Diseases Non-Infectious,Joint Disorders,Peri-natal Conditions,Snake and Insect Bites,Burns,Poisoning,HIV/AIDS,Neoplasms,Haematological Diseases (Toa anaemia),Osteomyelitis,Congenital Diseases,Fractures/Dislocation,Ill Defined Symtoms no Diagnosis,Thyroid Diseases,Diabetes Mellitus,Others (Taja),Total
Arusha,174,1330,25,1097,477,0,123,102,104,19,433,67,155,138,85,2,24,31,1,86,5976,208,197,318,15,108,5,6,83,5,315,329,130,3,0,7,74,227,303,10,23,2366,3792
Dodoma,362,1280,15,2263,507,201,24,238,14,72,679,16,44,43,83,0,18,22,6,71,3303,229,210,502,0,110,12,6,128,6,217,63,53,10,11,5,8,52,113,5,4,1103,12108
Dar es Salaam,635,1831,0,6674,0,0,58,318,74,161,1300,30,15,4,4,30,146,63,5,336,2752,1574,125,918,367,19,7,3,2039,10,413,150,179,1,0,7,219,139,0,3,33,2403,21576
Geita,1066,2287,16,7342,2714,2,13,41,0,20,3137,5,5,6,4,12,0,0,0,6,1332,250,49,637,0,43,15,0,168,3,80,16,148,0,1,0,0,23,247,0,0,1445,21133
Iringa,96,930,106,848,589,2,10,64,25,5,159,2,2,4,0,0,1,0,5,146,1833,177,178,290,3,300,0,0,12,0,83,18,37,0,0,37,0,54,67,0,0,388,6471
Kagera,2783,3572,646,16359,8409,3,5,366,126,131,3112,28,73,54,20,6,16,41,1,6,6472,1300,731,2139,7,140,15,6,195,36,119,114,30,1,16,10,8,32,44,12,3,346,47533
Katavi,392,1141,12,2359,446,0,0,122,0,23,1050,0,9,0,0,0,4,0,0,0,861,23,108,396,0,0,0,0,282,64,149,56,29,0,0,33,20,371,53,0,0,568,8571
Kigoma,49751,17938,9047,18628,11610,6463,3773,4969,1723,1277,4122,822,2719,923,2217,1951,10678,1557,500,752,2919,494,364,1467,2741,234,172,2607,512,48,262,8925,116,1088,23,3164,646,899,4357,281,4,4491,187234
Kilimanjaro,2943,5371,30,12254,2363,3,96,368,9,8,1473,404,396,81,12,0,34,95,48,446,8385,1999,778,2409,0,562,138,123,134,188,1657,449,278,2,0,1018,54,987,57,0,17,2645,48314
Lindi,34,1056,67,4790,1017,6,25,41,27,8,969,21,17,248,3,0,1,0,6,15,1440,113,145,168,1,23,9,1,383,7,69,48,14,2,0,0,10,94,313,10,11,720,11932
Manyara,856,1359,31,2785,3194,5,72,216,35,52,273,102,63,57,81,0,6,8,18,323,2809,199,202,197,0,338,53,56,52,60,215,44,52,6,1,28,61,72,3290,1,0,7064,24336
Mara,36465,10995,1433,17280,7212,5,319,158,482,102,7503,10,22,27,38,83,12,788,39,209,8410,628,99,2777,0,743,86,43,115,217,788,373,3088,59,4,376,143,402,41,36465,30,4845,142914
Mbeya,2996,4687,1071,3325,4222,1560,1062,600,151,5,635,19,156,46,267,195,6,10,0,164,7351,442,408,786,160,340,15,14,170,1196,651,157,57,58,17,57,0,368,857,18,119,2745,37163
Morogoro,1061,1706,176,9310,2662,8,346,315,16,52,2245,35,29,104,45,0,19,54,0,39,5623,249,193,859,79,69,60,23,521,17,370,50,526,11,1,4,18,133,143,0,0,5358,32529
Mtwara,2153,1088,133,7769,13486,19,6,21,50,2,1240,19,13,28,41,0,16,12,3,132,1723,83,248,158,25,121,21,40,456,7,101,76,43,0,0,0,8,115,0,4,7,578,30045
Mwanza,2490,2027,80,8680,4553,7,19,231,59,60,2563,259,30,105,0,0,0,0,0,27,2385,117,41,553,21,12,0,0,201,8,78,26,164,0,17,0,6,35,58,0,2,532,25446
Njombe,992,825,54,649,2278,0,1,48,83,0,191,9,26,12,3,0,14,0,8,20,3145,313,479,155,12,115,9,26,34,8,156,32,72,2,0,0,5,108,135,0,0,509,10528
Pwani,222,918,0,4016,283,949,8,267,2,16,1226,6,2,3,10,1,7,2,18,593,1271,26,99,187,0,10,3,0,89,2,195,124,80,0,0,0,6,71,0,0,0,185,10897
Rukwa,416,800,15,4543,1712,10,14,247,89,3,1277,4,8,26,1,3,0,1,3,39,603,62,97,134,0,22,0,0,11,2,107,13,2,0,0,0,0,23,79,55,0,238,10639
Ruvuma,1216,1849,46,7092,8972,5,14,73,50,61,1360,40,24,74,1,0,6,117,18,117,4330,54,163,237,9,60,11,1,593,0,199,84,125,208,0,5,9,131,214,0,0,28,27596
Shinyanga,225,1614,1666,8849,1864,11,19,20,4,139,3379,2,19,27,40,1,6,3,3,265,1941,173,130,529,1,7,0,4,0,4,93,24,9,0,0,1,2,118,574,0,18,996,22780
Simiyu,202,1042,113,5588,368,40,545,218,10,76,1920,0,0,4,1,0,41,7,1,16,983,72,36,1031,0,44,136,3,119,2,70,24,169,0,0,0,1,89,0,0,2,372,13345
Singida,504,1783,55,1913,3414,8,30,318,230,32,702,143,18,167,3,0,4,2,2,357,2306,200,377,466,0,21,3,1,56,4,118,55,12,0,0,4,11,78,144,14,4,806,14365
Tabora,1023,4043,151,19628,2037,0,16,43,34,100,6741,6,4,17,3,0,3,6,0,0,1435,55,35,399,0,59,0,0,2,6,243,33,175,39,0,20,23,212,147,7,3,456,37204
Tanga,3563,3711,0,7883,5437,1,32,9,16,6,3181,1,7,10,0,0,0,41,0,0,9817,234,66,513,0,121,0,0,42,3,131,42,329,0,0,3,8,285,346,0,0,741,36579
